 633486093247068, 633486095525401, 633486138706500, 633486142856344, 635832708.769044, 635832865.532445, 635832933.583806, 635832935.005733, 635832950.94287,635832980255425
 633487816979271, 633487820922344, 633487859316254, 633487861331098, 635834438.579842, 635834593.255742, 635834652.834498, 635834654.228769, 635834672.99148,635834712954348
 633489623648149, 633489627122420, 633489665999715, 633489667880289, 635836257.992106, 635836403.197902, 635836458.465251, 635836459.69973, 635836473.887076,635836504448277
 633491260732010, 633491264270552, 633491307179150, 633491308860087, 635837890.331123, 635838038.304575, 635838100.137498, 635838101.383956, 635838114.121406,635838140699481
 633493260508042, 633493264571793, 633493305268411, 633493307153932, 635839870.693508, 635840026.884721, 635840099.209989, 635840100.395406, 635840112.183167,635840138142441
 633495237503083, 633495241206417, 633495285896317, 633495290268349, 635841854.029799, 635842014.984503, 635842081.132009, 635842082.524822, 635842102.349511,635842146366078
 633496962664453, 633496969011901, 633497008821228, 633497011198937, 635843572.692939, 635843727.967017, 635843802.947962, 635843805.035566, 635843822.587183,635843862203593
 633498994963822, 633498999149291, 633499039853306, 633499041606952, 635845614.198507, 635845771.693575, 635845833.240352, 635845834.549466, 635845851.602176,635845890860878
 633500903100418, 633500907806721, 633500948811048, 633500950877558, 635847513.806509, 635847668.471628, 635847741.46174, 635847742.132104, 635847756.125387,635847782633463
 633503314474044, 633503318725138, 633503359785246, 633503365309674, 635849923.938155, 635850078.949108, 635850154.306772, 635850155.520418, 635850169.960784,635850194879692
